"Year","State","State ANSI","Class","Category","Metric","Remark","Domain","Domain Category","Chemical_Number","Value"
2023,"CALIFORNIA","06",NA,"TREATED","MEASURED IN PCT OF AREA BEARING","AVG","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003",203.8
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","AZOXYSTROBIN","128810",3300
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS STRAIN D747","16482",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","BACILLUS SUBTILIS","6479",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","BLAD","30006",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","BORAX DECAHYDRATE","11102",2800
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","BOSCALID","128008",6600
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","BT SUBSP KURSTAKI EVB-113-19","6544",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","CAPTAN","81301",603100
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","CYFLUFENAMID","555550",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","CYPRODINIL","288202",30300
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","DIFENOCONAZOLE","128847",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","FENHEXAMID","90209",8600
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","FLUDIOXONIL","71503",22400
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","FLUOPYRAM","80302",14600
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","FLUXAPYROXAD","138009",7100
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","FOSETYL-AL","123301",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","ISOFETAMID","270000",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","MEFENOXAM","113502",7200
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","MONO-POTASSIUM SALT","76416",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","MYCLOBUTANIL","128857",10800
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","PENTHIOPYRAD","90112",4000
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","POLYOXIN D ZINC SALT","230000",3300
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","PROPICONAZOLE","122101",2300
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","PYDIFLUMETOFEN","90110",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","PYRACLOSTROBIN","99100",10600
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","PYRIMETHANIL","288201",8300
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","QUINOLINE","55459",3600
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","SULFUR","77501",1258100
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","TETRACONAZOLE","120603",1300
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","THIOPHANATE-METHYL","102001",10600
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","THIRAM","79801",269500
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","TOTAL",NA,2338800
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","TRIFLOXYSTROBIN","129112",14600
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","TRIFLUMIZOLE","128879",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"HERBICIDE","CARFENTRAZONE-ETHYL","128712",11.4
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"HERBICIDE","FLUMIOXAZIN","129034",3900
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"HERBICIDE","OXYFLUORFEN","111601",11.4
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"HERBICIDE","PENDIMETHALIN","108501",71400
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"HERBICIDE","TOTAL",NA,89700
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","ABAMECTIN","122804",300
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","ACEQUINOCYL","6329",12800
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","ACETAMIPRID","99050",3300
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","AZADIRACHTIN","121701",2800
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","BEAUVERIA BASSIANA","128924",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","BIFENAZATE","586",28700
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","BIFENTHRIN","128825",4600
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","BT KURSTAK ABTS-1857","6523",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","BT KURSTAKI ABTS-351","6522",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","BT KURSTAKI SA-11","6519",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","CANOLA OIL","11332",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","CHLORANTRANILIPROLE","90100",2000
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA","16329",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","CYANTRANILIPROLE","90098",1700
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","CYFLUMETOFEN","138831",7600
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","ETOXAZOLE","107091",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","FENBUTATIN-OXIDE","104601",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","FENPROPATHRIN","127901",6600
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","FENPYROXIMATE","129131",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","FLONICAMID","128016",6200
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","FLUPYRADIFURONE","122304",5000
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","HEXYTHIAZOX","128849",5400
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","IMIDACLOPRID","129099",3100
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","LAMBDA-CYHALOTHRIN","128897",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","MALATHION","57701",19400
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","METHOXYFENOZIDE","121027",7900
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","NALED","34401",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","NEEM OIL","25006",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","NEEM OIL, CLAR. HYD.","25007",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","NOVALURON","124002",5600
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","PIPERONYL BUTOXIDE","67501",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","PYRETHRINS","69001",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","PYRIDABEN","129105",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","SPINETORAM","110007",3800
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","SPINOSAD","110003",2000
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","THIAMETHOXAM","60109",1300
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","TOTAL",NA,231600
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"OTHER","ACIBENZOLAR-S-METHYL","61402",68.7
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"OTHER","CAPSICUM OLEORESIN EXTRACT","70704",68.7
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"OTHER","CHLOROPICRIN","81501",11299000
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"OTHER","DICHLOROPROPENE","29001",1642600
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"OTHER","FLUTRIAFOL","128940",3900
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"OTHER","GARLIC OIL","128827",68.7
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"OTHER","HYDROGEN PEROXIDE","595",68.7
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"OTHER","IRON PHOSPHATE","34903",68.7
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"OTHER","METALDEHYDE","53001",68.7
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"OTHER","METAM-POTASSIUM","39002",68.7
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"OTHER","METAM-SODIUM","39003",68.7
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"OTHER","PEROXYACETIC ACID","63201",68.7
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"OTHER","PSEUDOMONAS CHLORORAPHIS STRAIN AFS009","6800",68.7
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"OTHER","REYNOUTRIA SACHALINE","55809",68.7
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"OTHER","TOTAL",NA,15611900
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER","NITROGEN",NA,393000
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER","PHOSPHATE",NA,216000
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER","POTASH",NA,393000
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER","SULFUR",NA,131.9
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","AZOXYSTROBIN","128810",0.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS STRAIN D747","16482",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","BACILLUS SUBTILIS","6479",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","BLAD","30006",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","BORAX DECAHYDRATE","11102",0
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","BOSCALID","128008",0.4
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","BT SUBSP KURSTAKI EVB-113-19","6544",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","CAPTAN","81301",1.7
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","CYFLUFENAMID","555550",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","CYPRODINIL","288202",0.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","DIFENOCONAZOLE","128847",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","FENHEXAMID","90209",0.7
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","FLUDIOXONIL","71503",0.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","FLUOPYRAM","80302",0.1
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","FLUXAPYROXAD","138009",0.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","FOSETYL-AL","123301",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","ISOFETAMID","270000",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","MEFENOXAM","113502",0.5
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","MONO-POTASSIUM SALT","76416",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","MYCLOBUTANIL","128857",0.1
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","PENTHIOPYRAD","90112",0.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","POLYOXIN D ZINC SALT","230000",0.1
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","PROPICONAZOLE","122101",0.1
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","PYDIFLUMETOFEN","90110",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","PYRACLOSTROBIN","99100",0.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","PYRIMETHANIL","288201",0.7
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","QUINOLINE","55459",0.1
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","SULFUR","77501",5.5
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","TETRACONAZOLE","120603",0
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","THIOPHANATE-METHYL","102001",0.7
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","THIRAM","79801",2.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","TRIFLOXYSTROBIN","129112",0.1
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","TRIFLUMIZOLE","128879",11.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","HERBICIDE","CARFENTRAZONE-ETHYL","128712",11.4
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","HERBICIDE","FLUMIOXAZIN","129034",0.1
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","HERBICIDE","OXYFLUORFEN","111601",11.4
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","HERBICIDE","PENDIMETHALIN","108501",0.9
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","ABAMECTIN","122804",0
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","ACEQUINOCYL","6329",0.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","ACETAMIPRID","99050",0.1
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","AZADIRACHTIN","121701",0
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","BEAUVERIA BASSIANA","128924",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","BIFENAZATE","586",0.5
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","BIFENTHRIN","128825",0.1
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","BT KURSTAK ABTS-1857","6523",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","BT KURSTAKI ABTS-351","6522",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","BT KURSTAKI SA-11","6519",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","CANOLA OIL","11332",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","CHLORANTRANILIPROLE","90100",0.1
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA","16329",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","CYANTRANILIPROLE","90098",0.1
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","CYFLUMETOFEN","138831",0.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","ETOXAZOLE","107091",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","FENBUTATIN-OXIDE","104601",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","FENPROPATHRIN","127901",0.3
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","FENPYROXIMATE","129131",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","FLONICAMID","128016",0.1
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","FLUPYRADIFURONE","122304",0.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","HEXYTHIAZOX","128849",0.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","IMIDACLOPRID","129099",0.5
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","LAMBDA-CYHALOTHRIN","128897",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","MALATHION","57701",1.8
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","METHOXYFENOZIDE","121027",0.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","NALED","34401",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","NEEM OIL","25006",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","NEEM OIL, CLAR. HYD.","25007",5.2
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","NOVALURON","124002",0.1
2023,"CALIFORNIA","06","BEARING","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","PIPERONYL BUTOXIDE","67501",5.2
