"Program","Year","Period","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Class","Method","Marketing_channels","Utilizations","Category","Metric","Remark","Domain","Domain Category","Chemical_Number","Value","CV (%)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"SUMTER","119",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"SUMTER","119",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"SUMTER","119",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,2,55.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"SUMTER","119",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,2,52.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"CONECUH","035",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,1,13.2
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"CONECUH","035",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,1,15.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"CONECUH","035",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,6,55.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"CONECUH","035",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,6,52.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"MOBILE","097",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"MOBILE","097",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"MOBILE","097",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,3,55.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"MOBILE","097",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,3,52.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009",NA,NA,NA,NA,"ACRES NON-BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,3,55.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,3,52.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009",NA,NA,NA,NA,"OPERATIONS WITH AREA NON-BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,1,47.6
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CALHOUN","015",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CALHOUN","015",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CALHOUN","015",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,2,55.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CALHOUN","015",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,2,52.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE","029",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE","029",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE","029",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,4,55.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE","029",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,4,52.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,8,13.2
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,9,15.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043",NA,NA,NA,NA,"ACRES NON-BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,1,99.95
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,10,55.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,11,52.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043",NA,NA,NA,NA,"OPERATIONS WITH AREA NON-BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,3,47.6
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"DE KALB","049",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,7,13.2
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"DE KALB","049",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,7,15.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"DE KALB","049",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,6,55.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"DE KALB","049",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,6,52.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"JACKSON","071",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,1,13.2
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"JACKSON","071",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,1,15.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"JACKSON","071",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,4,55.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"JACKSON","071",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,4,52.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"MARSHALL","095",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"MARSHALL","095",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"MARSHALL","095",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,2,55.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"MARSHALL","095",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,2,52.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR","115",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,10,13.2
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR","115",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,10,15.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR","115",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,8,55.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR","115",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,8,52.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LAUDERDALE","077",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LAUDERDALE","077",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LAUDERDALE","077",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,2,55.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LAUDERDALE","077",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,2,52.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LIMESTONE","083",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LIMESTONE","083",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LIMESTONE","083",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,1,0.05
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LIMESTONE","083",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,1,0.05
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MADISON","089",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MADISON","089",NA,NA,NA,NA,"ACRES NON-BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MADISON","089",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,2,0.05
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MADISON","089",NA,NA,NA,NA,"OPERATIONS WITH AREA NON-BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,2,0.05
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,2,13.2
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,2,15.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093",NA,NA,NA,NA,"ACRES NON-BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,5e-04,99.95
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,3,55.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,6,52.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093",NA,NA,NA,NA,"OPERATIONS WITH AREA NON-BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,3,47.6
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MORGAN","103",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,61,13.2
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MORGAN","103",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,61,15.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MORGAN","103",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,13,55.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MORGAN","103",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,13,52.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"BIBB","007",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"BIBB","007",NA,NA,NA,NA,"ACRES NON-BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"BIBB","007",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,1,52.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"BIBB","007",NA,NA,NA,NA,"OPERATIONS WITH AREA NON-BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,1,47.6
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,16,15.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021",NA,NA,NA,NA,"ACRES NON-BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,4,55.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,4,52.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021",NA,NA,NA,NA,"OPERATIONS WITH AREA NON-BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,2,47.6
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CLAY","027",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,8,13.2
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CLAY","027",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,8,15.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CLAY","027",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,8,55.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CLAY","027",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,8,52.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"JEFFERSON","073",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,8,13.2
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"JEFFERSON","073",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,8,15.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"JEFFERSON","073",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,5,55.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"JEFFERSON","073",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,5,52.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"RANDOLPH","111",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,5e-04,13.2
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"RANDOLPH","111",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,5e-04,15.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"RANDOLPH","111",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,4,55.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"RANDOLPH","111",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,4,52.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"SHELBY","117",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"SHELBY","117",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,3,15.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"SHELBY","117",NA,NA,NA,NA,"ACRES NON-BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"SHELBY","117",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,3,55.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"SHELBY","117",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,3,52.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"SHELBY","117",NA,NA,NA,NA,"OPERATIONS WITH AREA NON-BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,1,47.6
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"TALLADEGA","121",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"TALLADEGA","121",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"TALLADEGA","121",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,1,0.05
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"TALLADEGA","121",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,1,0.05
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"TUSCALOOSA","125",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"TUSCALOOSA","125",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"TUSCALOOSA","125",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,2,55.7
