"Year","Period","Geo Level","State","State ANSI","Marketing_channels","Utilizations","Category","Metric","Remark","Value"
2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,507
2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"YIELD","MEASURED IN TONS / ACRE",NA,25.3
2022,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT","10 YEAR AVG FOR PARITY PURPOSES",116
2022,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT","10 YEAR AVG",116
2022,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,3112100000
2022,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,23077600
2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,25700
2022,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / TON","10 YEAR AVG FOR PARITY PURPOSES",43.5
2022,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / TON","10 YEAR AVG",43.5
2022,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,1.47e+08
2022,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,5416700
2022,"YEAR","NATIONAL","US TOTAL",NA,NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,28494300
2022,"YEAR","NATIONAL","US TOTAL",NA,NA,"UTILIZED","PRODUCTION","MEASURED IN TONS",NA,1424715
2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,"ACRES HARVESTED",NA,NA,43500
2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,"ACRES PLANTED",NA,NA,43600
2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,"PRODUCTION","MEASURED IN $",NA,2781768000
2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,"PRODUCTION","MEASURED IN CWT",NA,25700000
2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,590
2022,"YEAR","STATE","CALIFORNIA","06","FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,34417487.9
2022,"YEAR","STATE","CALIFORNIA","06","FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,34417487.9
2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,25700
2022,"YEAR","STATE","CALIFORNIA","06","PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,34417487.9
2022,"YEAR","STATE","CALIFORNIA","06","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,34417487.9
2022,"YEAR","STATE","CALIFORNIA","06",NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,25674300
2022,"YEAR","STATE","FLORIDA","12",NA,NA,"ACRES HARVESTED",NA,NA,12800
2022,"YEAR","STATE","FLORIDA","12",NA,NA,"ACRES PLANTED",NA,NA,12800
2022,"YEAR","STATE","FLORIDA","12",NA,NA,"PRODUCTION","MEASURED IN $",NA,477332000
2022,"YEAR","STATE","FLORIDA","12",NA,NA,"PRODUCTION","MEASURED IN CWT",NA,2820000
2022,"YEAR","STATE","FLORIDA","12",NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,220
2022,"YEAR","STATE","FLORIDA","12","FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,1069656.3
2022,"YEAR","STATE","FLORIDA","12","FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,1069656.3
2022,"YEAR","STATE","FLORIDA","12",NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,0
2022,"YEAR","STATE","FLORIDA","12","PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,1069656.3
2022,"YEAR","STATE","FLORIDA","12","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,1069656.3
2022,"YEAR","STATE","FLORIDA","12",NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,2820000
2022,"YEAR","STATE","OTHER STATES",NA,NA,NA,"ACRES HARVESTED",NA,NA,0
2022,"YEAR","STATE","OTHER STATES",NA,NA,NA,"ACRES PLANTED",NA,NA,0
2022,"YEAR","STATE","OTHER STATES",NA,NA,NA,"PRODUCTION","MEASURED IN $",NA,0
2022,"YEAR","STATE","OTHER STATES",NA,NA,NA,"PRODUCTION","MEASURED IN CWT",NA,0
2022,"YEAR","STATE","OTHER STATES",NA,NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,0
2022,"YEAR","STATE","OTHER STATES",NA,"FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,3112100000
2022,"YEAR","STATE","OTHER STATES",NA,"FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,23077600
2022,"YEAR","STATE","OTHER STATES",NA,NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,0
2022,"YEAR","STATE","OTHER STATES",NA,"PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,1.47e+08
2022,"YEAR","STATE","OTHER STATES",NA,"PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,5416700
2022,"YEAR","STATE","OTHER STATES",NA,NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,0
2021,"MARKETING YEAR","NATIONAL","US TOTAL",NA,NA,NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,129
2021,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,143
2021,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,64
2021,"MARKETING YEAR","STATE","CALIFORNIA","06",NA,NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,125
2021,"MARKETING YEAR","STATE","CALIFORNIA","06","FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,744.3
2021,"MARKETING YEAR","STATE","CALIFORNIA","06","PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,744.3
2021,"MARKETING YEAR","STATE","FLORIDA","12",NA,NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,160
2021,"MARKETING YEAR","STATE","FLORIDA","12","FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,22.2
2021,"MARKETING YEAR","STATE","FLORIDA","12","PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,22.2
2021,"MARKETING YEAR","STATE","OTHER STATES",NA,NA,NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,0
2021,"MARKETING YEAR","STATE","OTHER STATES",NA,"FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,143
2021,"MARKETING YEAR","STATE","OTHER STATES",NA,"PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,64
2021,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"ACRES HARVESTED",NA,NA,52500
2021,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"ACRES PLANTED",NA,NA,52500
2021,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"PRODUCTION","MEASURED IN $",NA,3583960000
2021,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"PRODUCTION","MEASURED IN CWT",NA,27930000
2021,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"PRODUCTION","MEASURED IN TONS",NA,1396500
2021,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,532
2021,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"YIELD","MEASURED IN TONS / ACRE",NA,26.6
2021,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT","10 YEAR AVG",111
2021,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,3253959000
2021,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,22697900
2021,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,75300
2021,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / TON","10 YEAR AVG",44.1
2021,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,330001000
2021,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,5156800
2021,"YEAR","NATIONAL","US TOTAL",NA,NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,27854700
2021,"YEAR","NATIONAL","US TOTAL",NA,NA,"UTILIZED","PRODUCTION","MEASURED IN TONS",NA,1392735
2021,"YEAR","STATE","CALIFORNIA","06",NA,NA,"ACRES HARVESTED",NA,NA,40200
2021,"YEAR","STATE","CALIFORNIA","06",NA,NA,"ACRES PLANTED",NA,NA,40200
2021,"YEAR","STATE","CALIFORNIA","06",NA,NA,"PRODUCTION","MEASURED IN $",NA,3132279000
2021,"YEAR","STATE","CALIFORNIA","06",NA,NA,"PRODUCTION","MEASURED IN CWT",NA,25100000
2021,"YEAR","STATE","CALIFORNIA","06",NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,625
2021,"YEAR","STATE","CALIFORNIA","06","FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,36976786.1
2021,"YEAR","STATE","CALIFORNIA","06","FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,36976786.1
2021,"YEAR","STATE","CALIFORNIA","06",NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,75300
2021,"YEAR","STATE","CALIFORNIA","06","PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,36976786.1
2021,"YEAR","STATE","CALIFORNIA","06","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,36976786.1
2021,"YEAR","STATE","CALIFORNIA","06",NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,25024700
2021,"YEAR","STATE","FLORIDA","12",NA,NA,"ACRES HARVESTED",NA,NA,12300
2021,"YEAR","STATE","FLORIDA","12",NA,NA,"ACRES PLANTED",NA,NA,12300
2021,"YEAR","STATE","FLORIDA","12",NA,NA,"PRODUCTION","MEASURED IN $",NA,451681000
2021,"YEAR","STATE","FLORIDA","12",NA,NA,"PRODUCTION","MEASURED IN CWT",NA,2830000
2021,"YEAR","STATE","FLORIDA","12",NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,230
2021,"YEAR","STATE","FLORIDA","12","FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,1149196.4
2021,"YEAR","STATE","FLORIDA","12","FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,1149196.4
2021,"YEAR","STATE","FLORIDA","12",NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,0
2021,"YEAR","STATE","FLORIDA","12","PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,1149196.4
2021,"YEAR","STATE","FLORIDA","12","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,1149196.4
2021,"YEAR","STATE","FLORIDA","12",NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,2830000
2021,"YEAR","STATE","OTHER STATES",NA,NA,NA,"ACRES HARVESTED",NA,NA,0
2021,"YEAR","STATE","OTHER STATES",NA,NA,NA,"ACRES PLANTED",NA,NA,0
2021,"YEAR","STATE","OTHER STATES",NA,NA,NA,"PRODUCTION","MEASURED IN $",NA,0
2021,"YEAR","STATE","OTHER STATES",NA,NA,NA,"PRODUCTION","MEASURED IN CWT",NA,0
2021,"YEAR","STATE","OTHER STATES",NA,NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,0
2021,"YEAR","STATE","OTHER STATES",NA,"FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,3253959000
2021,"YEAR","STATE","OTHER STATES",NA,"FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,22697900
2021,"YEAR","STATE","OTHER STATES",NA,NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,0
2021,"YEAR","STATE","OTHER STATES",NA,"PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,330001000
2021,"YEAR","STATE","OTHER STATES",NA,"PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,5156800
2021,"YEAR","STATE","OTHER STATES",NA,NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,0
2020,"MARKETING YEAR","NATIONAL","US TOTAL",NA,NA,NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,97.1
2020,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,111
2020,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,38.1
2020,"MARKETING YEAR","STATE","CALIFORNIA","06",NA,NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,93.1
2020,"MARKETING YEAR","STATE","CALIFORNIA","06","FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,746.4
2020,"MARKETING YEAR","STATE","CALIFORNIA","06","PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,746.4
2020,"MARKETING YEAR","STATE","FLORIDA","12",NA,NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,139
2020,"MARKETING YEAR","STATE","FLORIDA","12","FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,22.2
2020,"MARKETING YEAR","STATE","FLORIDA","12","PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,22.2
2020,"MARKETING YEAR","STATE","OTHER STATES",NA,NA,NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,0
2020,"MARKETING YEAR","STATE","OTHER STATES",NA,"FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,111
2020,"MARKETING YEAR","STATE","OTHER STATES",NA,"PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,38.1
2020,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"ACRES HARVESTED",NA,NA,49300
2020,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"ACRES PLANTED",NA,NA,49700
2020,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"PRODUCTION","MEASURED IN $",NA,2591759000
2020,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"PRODUCTION","MEASURED IN CWT",NA,26740000
2020,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"PRODUCTION","MEASURED IN TONS",NA,1337000
2020,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,542
2020,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"YIELD","MEASURED IN TONS / ACRE",NA,27.1
2020,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,2404152000
2020,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,21756400
2020,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,55800
2020,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,187607000
2020,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,4927800
2020,"YEAR","NATIONAL","US TOTAL",NA,NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,26684200
2020,"YEAR","NATIONAL","US TOTAL",NA,NA,"UTILIZED","PRODUCTION","MEASURED IN TONS",NA,1334210
2020,"YEAR","STATE","CALIFORNIA","06",NA,NA,"ACRES HARVESTED",NA,NA,37600
2020,"YEAR","STATE","CALIFORNIA","06",NA,NA,"ACRES PLANTED",NA,NA,38000
2020,"YEAR","STATE","CALIFORNIA","06",NA,NA,"PRODUCTION","MEASURED IN $",NA,2267175000
2020,"YEAR","STATE","CALIFORNIA","06",NA,NA,"PRODUCTION","MEASURED IN CWT",NA,24400000
2020,"YEAR","STATE","CALIFORNIA","06",NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,650
2020,"YEAR","STATE","CALIFORNIA","06","FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,37078210.9
2020,"YEAR","STATE","CALIFORNIA","06","FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,37078210.9
2020,"YEAR","STATE","CALIFORNIA","06",NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,48800
2020,"YEAR","STATE","CALIFORNIA","06","PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,37078210.9
